,INTERVAL_DATETIME,DUID,BIDBAND,BIDVOLUME,BIDPRICE
0,2022-01-01 01:00:00,BERYLSF1,2,0.0,-32.51
1,2022-01-01 02:00:00,BERYLSF1,2,0.0,-32.51
2,2022-01-01 03:00:00,BERYLSF1,2,0.0,-32.51
3,2022-01-01 04:00:00,BERYLSF1,2,0.0,-32.51
4,2022-01-01 05:00:00,BERYLSF1,2,0.0,-32.51
5,2022-01-01 06:00:00,BERYLSF1,2,16.111000000000004,-32.51
6,2022-01-01 07:00:00,BERYLSF1,1,57.263,-918.4
7,2022-01-01 08:00:00,BERYLSF1,1,72.367,-918.4
8,2022-01-01 09:00:00,BERYLSF1,1,71.815,-918.4
9,2022-01-01 10:00:00,BERYLSF1,1,37.087,-918.4
10,2022-01-01 11:00:00,BERYLSF1,1,73.655,-918.4
11,2022-01-01 12:00:00,BERYLSF1,1,76.176,-918.4
12,2022-01-01 13:00:00,BERYLSF1,1,74.013,-918.4
13,2022-01-01 14:00:00,BERYLSF1,1,72.738,-918.4
14,2022-01-01 15:00:00,BERYLSF1,1,72.147,-918.4
15,2022-01-01 16:00:00,BERYLSF1,1,14.921999999999997,-918.4
16,2022-01-01 17:00:00,BERYLSF1,1,76.512,-918.4
17,2022-01-01 18:00:00,BERYLSF1,2,20.451999999999998,-32.51
18,2022-01-01 19:00:00,BERYLSF1,2,0.006000000000000227,-32.51
19,2022-01-01 20:00:00,BERYLSF1,2,0.0,-32.51
20,2022-01-01 21:00:00,BERYLSF1,2,0.0,-32.51
21,2022-01-01 22:00:00,BERYLSF1,2,0.0,-32.51
22,2022-01-01 23:00:00,BERYLSF1,2,0.0,-32.51
23,2022-01-02 00:00:00,BERYLSF1,2,0.0,-32.51
